accession_name	genome_accession	Sequence_abundance	Adjusted_ANI	Eff_cov	Contig_name	completeness	contamination	contigs	taxonomy	species	sample_name	fermented_food
7857_128_S196	FontanaF_2023__SRR20746951__bin.4	5.6663	98.73	26	NODE_1_length_333540_cov_36.9994_ID_1661	99.8	0.04	46	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	yogurt
7857_128_S196	PatroJN_2016__SRS1044738__bin.12	1.2095	100	8.084	SRS1044738_k141_579	98.94480519	0	24	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus acidophilus	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	yogurt
7857_128_S196	GCF_006740305.1_ASM674030v1_genomic	0.3439	96.34	2.324	"GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome"	99.03	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	yogurt
7857_128_S196	MAG_496	0.203	97.53	1.833	MAG_496_0	51.74	9.49	612	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus spp.	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	yogurt
7857_128_S196	MAG_502	0.1993	100	1.337	MAG_502_0	100	0	19	Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium	Bifidobacterium animalis	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	yogurt
7857_128_S196	CM_UNINA_FFOOD__FFOOD_408__bin.5	0.0121	97.21	0.06	NODE_6_length_149100_cov_225.9819_ID_15424	100	0.22	66	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium	Propionibacterium freudenreichii	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	yogurt
7857_172_S219	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5	79.2132	99.81	456	WK028-2-L-48h-03A1_S20_k141_3165	99.88764045	0	19	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc citreum	FF0172_rejuvelac	beverage
7857_172_S219	FalardeauJ_2023__SRR20811279__bin.3	6.3552	99.17	20	NODE_1_length_274429_cov_22.9992_ID_7781	99.97	0.24	56	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	Lactiplantibacillus plantarum	FF0172_rejuvelac	beverage
7857_172_S219	EBC_095.37	5.7193	99.91	18	EBC_095.37_EBC_095_scaffold_66	58.62	0	70	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Erwinia	Erwinia sp003937915	FF0172_rejuvelac	beverage
7857_172_S219	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897	2.2724	98.5	9.401	"ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897_NZ_LISZ01000065.1 Lactococcus lactis subsp. cremoris strain LMG6897 contig_0, whole genome shotgun sequence"	100	0.19	233	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus cremoris	FF0172_rejuvelac	beverage
7857_172_S219	XieM_2019__SAMC044639__bin.32	3.9195	99.7	8.369	SAMC044639_k141_719	97.32240437	1.879781421	45	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea agglomerans	FF0172_rejuvelac	beverage
7857_172_S219	MAG_501	0.8864	97.9	3.793	MAG_501_0	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	FF0172_rejuvelac	beverage
7857_172_S219	EBC_082.15	0.5581	98.73	1.162	EBC_082.15_EBC_082_scaffold_602	92.69	4.54	82	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia	Kosakonia cowanii	FF0172_rejuvelac	beverage
7857_172_S219	MotaGutierrezJ_2021__SRR11602150__bin.9	0.2593	98.06	1.097	NODE_36_length_112572_cov_15.0000_ID_47355	99.42	0	110	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	Levilactobacillus brevis	FF0172_rejuvelac	beverage
7857_172_S219	LeechJ_xxxx__AF66__bin.13	0.1101	99.33	0.84	AF66_k141_253	56.50470219	0	338	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus taiwanensis	FF0172_rejuvelac	beverage
7857_172_S219	LeechJ_2020__ERS3967691__bin.13	0.1162	97.62	0.584	ERS3967691_k141_96	92.61758691	1.533742331	211	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella cibaria	FF0172_rejuvelac	beverage
7857_172_S219	KharnaiorP_2023__SRR22859379__bin.8	0.0859	99.59	0.529	NODE_3_length_161229_cov_37.0000_ID_62026	99.96	0.01	43	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	Pediococcus pentosaceus	FF0172_rejuvelac	beverage
7857_172_S219	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38	0.0691	99.24	0.349	"ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome"	99.46	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus curvatus	FF0172_rejuvelac	beverage
7857_172_S219	LeechJ_xxxx__AF73__bin.2	0.0843	98.54	0.192	AF73_k141_59	96.33336326	1.470508658	112	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter_D	Enterobacter D kobei A	FF0172_rejuvelac	beverage
7857_172_S219	FontanaF_2023__SRR20746951__bin.4	0.0533	98.92	0.186	NODE_1_length_333540_cov_36.9994_ID_1661	99.8	0.04	46	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	FF0172_rejuvelac	beverage
7857_172_S219	GCF_009913915.1_ASM991391v1_genomic	0.0332	98.78	0.158	"GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome"	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc mesenteroides	FF0172_rejuvelac	beverage
7857_172_S219	CM_UNINA_FFOOD__FFOOD_418__bin.8	0.031	98.62	0.155	NODE_1_length_253996_cov_27.9987_ID_4007	100	0.18	41	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus petauri	FF0172_rejuvelac	beverage
7857_172_S219	FontanaF_2023__SRR20746834__bin.2	0.0378	98.12	0.133	NODE_15_length_59385_cov_11.2996_ID_3067	99.89	0.4	332	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	Enterococcus B durans	FF0172_rejuvelac	beverage
7857_172_S219	YouL_2022__SRR13308526__bin.24	0.0613	97.11	0.131	NODE_37_length_141872_cov_18.1171_ID_20191	88.99	4.01	218	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter ludwigii	FF0172_rejuvelac	beverage
7857_172_S219	MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.2	0.0219	98.21	0.073	WK030-2-L-48h-03A9_S28_k141_198	100	0	41	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter lovaniensis	FF0172_rejuvelac	beverage
7857_172_S219	LeechJ_2020__ERS3967714__bin.6	0.0686	99.07	0.061	ERS3967714_k141_36	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	Saccharomyces uvarum	FF0172_rejuvelac	beverage
7857_172_S219	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	0.044	98.11	0.051	WK038-1-L-48h-03E3_S58_k141_11	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia	Pichia membranifaciens group 1	FF0172_rejuvelac	beverage
7857_142_S207	GCF_009913915.1_ASM991391v1_genomic	21.357	99.76	71	"GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome"	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc mesenteroides	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072	20.1942	99.93	68	"ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072_NZ_CP025136.1 Lactobacillus sakei strain WiKim0072 chromosome, complete genome"	99.46	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus sakei	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MAG_501	20.7308	99.71	62	MAG_501_0	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5	7.7053	99.86	31	WK028-2-L-48h-03A1_S20_k141_3165	99.88764045	0	19	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc citreum	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	LeechJ_2020__ERS3967691__bin.13	4.5116	99.84	15.84	ERS3967691_k141_96	92.61758691	1.533742331	211	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella cibaria	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	EBC_147.23	11.6917	99.13	15	EBC_147.23_EBC_147_scaffold_41	77.74	0.86	315	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rahnella	Rahnella aceris	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38	3.3808	99.66	11.926	"ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome"	99.46	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus curvatus	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	LeechJ_xxxx__AF84__bin.30	2.1119	98.84	3.236	AF84_k141_2549	98.68519585	0.664457071	90	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia	Lelliottia amnigena	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	YouL_2022__SRR13308526__bin.24	2.0039	98.96	3	NODE_37_length_141872_cov_18.1171_ID_20191	88.99	4.01	218	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter ludwigii	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MAG_116	0.2819	98.5	1.697	MAG_116_0	51.9	1.59	467	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc pseudomesenteroides	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1	0.4718	96.88	1.614	WK023-1-L-48h-02G3_S117_k141_1117	99.82363316	0	29	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc pseudomesenteroides	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	AlvarezOrdonezA_xxxx__Q03-21__bin.9	0.9265	98.68	1.525	Q03-21_k141_247	89.39371937	2.956357692	616	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella	Buttiauxella massiliensis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MASTER_WP4_TEAGASC_1__TGS04-28__bin.21	0.5828	97.61	1.379	TGS04-28_k141_55	74.00029391	4.333898884	775	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio	Vibrio litoralis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MASTER_WP4_CSIC_2__P2596__bin.6	0.6263	99.51	0.985	P2596_k141_212	97.68548044	0.756448413	196	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera	Kluyvera intermedia	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	KharnaiorP_2023__SRR22859379__bin.8	0.2146	99.49	0.924	NODE_3_length_161229_cov_37.0000_ID_62026	99.96	0.01	43	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	Pediococcus pentosaceus	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MASTER_WP4_TEAGASC_1__TGS08-29__bin.64	0.6979	99.18	0.897	TGS08-29_k141_17440	98.21428571	0.558035714	27	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Serratia	Serratia liquefaciens	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MASTER_WP4_FFoQSI_2__VB16-22__bin.7	0.2658	97.87	0.643	VB16-22_k141_485	98.68421053	0	70	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Kocuria	Kocuria salsicia	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	CM_UNINA_FFOOD__FFOOD_418__bin.8	0.1517	99.64	0.532	NODE_1_length_253996_cov_27.9987_ID_4007	100	0.18	41	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus petauri	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MAG_183	0.314	97.27	0.476	MAG_183_0	95.53	2.68	667	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia	Leclercia adecarboxylata	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MAG_426	0.3331	95.79	0.451	MAG_426_0	99.6	0.34	66	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter	Citrobacter freundii	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	YulandiA_2020__SRS6115052__bin.21	0.1079	99.04	0.398	SRS6115052_k141_129	98.36400818	0	104	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella paramesenteroides	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	XieM_2019__SAMC044639__bin.31	0.2613	97.31	0.379	SAMC044639_k141_6665	75.15673981	1.724137931	50	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter	Citrobacter braakii	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	LiZ_2019__SRS3379157__bin.3	0.2608	98.27	0.376	SRS3379157_k141_320	99.44609788	0.639880952	195	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter mori	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MAG_331	0.0823	95.61	0.276	MAG_331_0	51.72	6.9	653	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pectobacterium	Pectobacterium brasiliense	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	FontanaF_2023__SRR20746869__bin.1	0.1116	96.94	0.252	NODE_117_length_29172_cov_5.0000_ID_19762	69.12	1.15	872	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter asburiae B	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	LeechJ_xxxx__AF66__bin.13	0.0415	98.49	0.221	AF66_k141_253	56.50470219	0	338	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus taiwanensis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MASTER_WP4_CSIC_2__P2587__bin.9	0.1682	97.95	0.215	P2587_k141_467	99.18806232	0.755739796	152	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	Klebsiella terrigena	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	XieM_2019__SAMC044639__bin.32	0.1063	98.75	0.159	SAMC044639_k141_719	97.32240437	1.879781421	45	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea agglomerans	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MotaGutierrezJ_2021__SRR11602150__bin.9	0.05	98.36	0.148	NODE_36_length_112572_cov_15.0000_ID_47355	99.42	0	110	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	Levilactobacillus brevis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	FalardeauJ_2023__SRR20811279__bin.3	0.0672	98.05	0.148	NODE_1_length_274429_cov_22.9992_ID_7781	99.97	0.24	56	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	Lactiplantibacillus plantarum	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	EBC_080.1	0.0982	97.76	0.141	EBC_080.1_EBC_080_scaffold_1281	96.07	3.48	35	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Erwinia	Erwinia persicina	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	GCF_004771075.1_ASM477107v1_genomic	0.0359	98.58	0.111	"GCF_004771075.1_ASM477107v1_genomic_NZ_CP027563.1 Weissella confusa strain VTT E-133279 chromosome, complete genome"	99.08	0	2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella confusa	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	GCF_008632615.1_ASM863261v1_genomic	0.0301	97.23	0.092	"GCF_008632615.1_ASM863261v1_genomic_NZ_CP043939.1 Paucilactobacillus nenjiangensis strain SH-Y15 chromosome, complete genome"	98.91	0.27	2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus	Paucilactobacillus nenjiangensis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	CM_UNINA_FFOOD__FFOOD_245__bin.2	0.0097	99.57	0.043	NODE_1_length_160535_cov_17.2789_ID_55527	99.58	0.22	34	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc lactis	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_142_S207	MASTER_WP4_UNINA_1__GO004_71775__bin.8	0.0153	97.45	0.03	GO004_71775_k141_336	83.61473561	2.84019975	49	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_A	Enterococcus A gilvus	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	beets
7857_129_S197	Wy2_bin.circ.1	96.2073	99.62	491	s8.ctg000010c	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	FF0129_la_fermiere_creamy_whole_milk_yogurt	yogurt
7857_129_S197	FontanaF_2023__SRR20746951__bin.4	3.717	98.62	12.407	NODE_1_length_333540_cov_36.9994_ID_1661	99.8	0.04	46	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	FF0129_la_fermiere_creamy_whole_milk_yogurt	yogurt
7857_129_S197	GCF_006740305.1_ASM674030v1_genomic	0.037	97.46	0.182	"GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome"	99.03	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	FF0129_la_fermiere_creamy_whole_milk_yogurt	yogurt
7857_129_S197	CM_UNINA_FFOOD__FFOOD_408__bin.5	0.0245	97.42	0.088	NODE_6_length_149100_cov_225.9819_ID_15424	100	0.22	66	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium	Propionibacterium freudenreichii	FF0129_la_fermiere_creamy_whole_milk_yogurt	yogurt
7857_129_S197	GCF_001703515.1_ASM170351v1_genomic	0.0142	97.89	0.052	"GCF_001703515.1_ASM170351v1_genomic_NZ_CP016839.1 Brochothrix thermosphacta strain TMW 2.1564 chromosome, complete genome"	99.45	0	2	Bacillota;Bacilli;Lactobacillales;Listeriaceae;Brochothrix	Brochothrix thermosphacta	FF0129_la_fermiere_creamy_whole_milk_yogurt	yogurt
7857_198_S232	FontanaF_2023__SRR20746979__bin.3	77.8055	98.77	222	NODE_10_length_61143_cov_28.9945_ID_1888	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus helveticus	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	GCF_009428965.1_ASM942896v1_genomic	14.8581	99.52	42	"GCF_009428965.1_ASM942896v1_genomic_NZ_CP045530.1 Limosilactobacillus pontis strain LP475 chromosome, complete genome"	99.46	0.54	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus pontis	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	MAG_46	3.1196	99.41	8.63	MAG_46_0	99.06	1.2	82	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus panis A	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	GCF_009295845.1_ASM929584v1_genomic	0.8274	98.57	1.419	GCF_009295845.1_ASM929584v1_genomic_NZ_CP045179.1 Levilactobacillus zymae strain LZ395 chromosome	99.2	1.25	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	Levilactobacillus zymae	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	DeFilippisF_xxxx__DF_30__bin.3	0.5723	97.22	1.24	DF_30_k141_145	99.0625	0	101	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus buchneri	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	GCF_004014775.2_ASM401477v2_genomic	0.5195	96.38	0.799	"GCF_004014775.2_ASM401477v2_genomic_NZ_CP042808.1 Acetobacter oryzoeni strain B6 chromosome, complete genome"	100	0	4	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter oryzoeni	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	LeechJ_xxxx__AF51__bin.9	0.16	99.07	0.725	AF51_k141_148	54.17836283	2.487562189	427	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter oryzoeni	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	MortensenS_xxxx__WK040-2-L-48h-03F4_S68__bin.4	0.3422	98.78	0.673	WK040-2-L-48h-03F4_S68_k141_241	98.50746269	0	108	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter syzygii	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	FontanaF_2023__SRR20746839__bin.4	0.1816	98.63	0.521	NODE_2_length_148631_cov_25.9785_ID_15265	99.89	0.03	58	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus fermentum	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	GCF_001434135.1_ASM143413v1_genomic	0.2997	96.59	0.483	"GCF_001434135.1_ASM143413v1_genomic_NZ_AZEB01000001.1 Lentilactobacillus kisonensis DSM 19906 = JCM 15041 strain DSM 19906 Scaffold1, whole genome shotgun sequence"	99.25	0.21	93	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus kisonensis	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	G_514_1B_orientalis_assembly	0.2098	97.9	0.328	NODE_1_length_900359_cov_75.777345	100	0	34	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter orientalis	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.2	0.1417	96.59	0.262	WK032-1-L-48h-03B6_S34_k141_400	99.50248756	0	126	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	Acetobacter pasteurianus	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	LandisEA_2021__SRS5653155__bin.1	0.1285	98.67	0.25	SRS5653155_k141_354	98.9375	0	31	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus parabuchneri	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	GCF_001436255.1_ASM143625v1_genomic	0.13	98.89	0.221	"GCF_001436255.1_ASM143625v1_genomic_NZ_AZEI01000007.1 Lentilactobacillus rapi DSM 19907 = JCM 15042 strain DSM 19907 NODE_10, whole genome shotgun sequence"	98.94	0.21	82	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus rapi	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	MortensenS_xxxx__WK001T-1-G-00h-05I5_S129__bin.3	0.1267	98.9	0.203	WK001T-1-G-00h-05I5_S129_k141_482	99.375	0.3125	55	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus hilgardii	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	FontanaF_2023__SRR20746951__bin.4	0.1163	97.93	0.2	NODE_1_length_333540_cov_36.9994_ID_1661	99.8	0.04	46	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	GCF_008694105.1_ASM869410v1_genomic	0.1067	98.72	0.157	"GCF_008694105.1_ASM869410v1_genomic_NZ_CP041364.1 Schleiferilactobacillus harbinensis strain NSMJ42 chromosome, complete genome"	99.21	1.05	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Schleiferilactobacillus	Schleiferilactobacillus harbinensis	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	CM_UNINA_FFOOD__FFOOD_424__bin.7	0.0268	98.65	0.109	NODE_16_length_38615_cov_8.0000_ID_5830	67.83	1.53	252	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus vaginalis	FF0198_cafe_colucci_injera_batter	injera
7857_198_S232	MASTER_WP4_CSIC_2__P2597__bin.1	0.1427	98.65	0.066	P2597_k141_298	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia	Pichia kudriavzevii	FF0198_cafe_colucci_injera_batter	injera
